store_id,store_name,city,city_norm,proposed_canonical,match_layer,confidence
1,"11 - שלי ת""א- נורדאו",תל אביב,תל אביב-יפו,תל אביב -יפו,L3,0.957
2,"39 - שלי ת""א- ברזיל",תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
3,168 - שלי אשדוד- כינרת,אשדוד,אשדוד,אשדוד,L1,1.0
4,232 - שלי צפת- מ.מסחר רמת רזים,צפת,צפת,צפת,L1,1.0
5,326 - שלי נהריה- הגעתון,נהריה,נהריה,נהרייה,L3,0.909
6,343 - שלי ראש העין- ברקן,ראש העין,ראש העין,ראש העין,L1,1.0
7,173 - דיל כפר יונה,כפר יונה,כפר יונה,כפר יונה,L1,1.0
8,174 - דיל ערד- קניון,ערד,ערד,ערד,L1,1.0
9,180 - דיל ק.מוצקין- בן גוריון,קרית מוצקין,קריית מוצקין,קריית מוצקין,L1,1.0
10,181 - דיל אשקלון- רמז,אשקלון,אשקלון,אשקלון,L1,1.0
11,"184 - דיל ראשל""צ- זבוטינסקי",ראשון לציון,ראשון לציון,ראשון לציון,L1,1.0
12,188 - דיל ירוחם- צבי בורנשטיין,ירוחם,ירוחם,ירוחם,L1,1.0
13,214 - יוניברס קרית גת- מלכי ישראל,קרית גת,קריית גת,קריית גת,L1,1.0
14,218 - יוניברס עפולה- יצחק רבין,עפולה,עפולה,עפולה,L1,1.0
15,281 - דיל מגדל העמק- המדע,מגדל העמק,מגדל העמק,מגדל העמק,L1,1.0
16,176 - שערי רווחה ירושלים,ירושלים,ירושלים,ירושלים,L1,1.0
17,485 - BE אשדוד בלה,אשדוד,אשדוד,אשדוד,L1,1.0
18,295 - יש חסד בני ברק-שלמה המלך,בני ברק,בני ברק,בני ברק,L1,1.0
19,82 - אקספרס חולון,חולון,חולון,חולון,L1,1.0
20,127 - אקספרס טירת הכרמל,טירת הכרמל,טירת הכרמל,טירת כרמל,L3,0.947
21,147 - אקספרס זכרון,זכרון יעקב,זכרון יעקב,זכרון יעקב,L1,1.0
22,171 - אקספרס אוסטשינסקי,כפר סבא,כפר סבא,כפר סבא,L1,1.0
23,236 - אקספרס אילת שחמון,אילת,אילת,אילת,L1,1.0
24,277 - אקספרס.בני בנימין הרצליה,הרצליה,הרצליה,הרצלייה,L3,0.923
25,301 - אקספרס אחי מאיר,תל אביב,תל אביב-יפו,תל אביב -יפו,L3,0.957
26,303 - אקספרס טבעון - יהודה הנשיא,קרית טבעון,קריית טבעון,קריית טבעון,L1,1.0
27,317 - אקספרס גבעת עדה,גבעת עדה,גבעת עדה,,NULL,0.0
28,338 - אקספרס כוכב הצפון,"ת""א",תל אביב-יפו,תל אביב -יפו,L3,0.957
29,388 - אקספרס דניה,חיפה,חיפה,חיפה,L1,1.0
30,478 - אקספרס גדרה,גדרה,גדרה,גדרה,L1,1.0
31,579 - אקספרס סביון,סביון,סביון,סביון,L1,1.0
32,599 - אקספרס ההסתדרות,גבעתיים,גבעתיים,גבעתיים,L1,1.0
33,757 - אקספרס קריית אונו,קריית אונו,קריית אונו,קריית אונו,L1,1.0
34,845 - אקספרס נחשון כפר סבא,כפר סבא,כפר סבא,כפר סבא,L1,1.0
35,134 - יוניברס מודיעין- ישפרו סנטר,מודיעין,מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,L1,1.0
36,195 - יוניברס קריון- דרך עכו,קרית ביאליק,קריית ביאליק,קריית ביאליק,L1,1.0
37,"15 - יש פ""ת- רוטשילד",פתח-תקוה,פתח-תקוה,,NULL,0.0
38,413 - שופרסל ONLINE,אונליין,אונליין,,NULL,0.0
39,357 - דיל צורן קדימה- לב השרון,צורן,צורן,,NULL,0.0
40,199 - דיל בת ים- בלפור,בת ים,בת ים,בת ים,L1,1.0
41,615 - BE כפר סבא,כפר סבא,כפר סבא,כפר סבא,L1,1.0
42,499 - יש חסד עפולה עילית,עפולה,עפולה,עפולה,L1,1.0
43,752 - אקספרס כפר סבא דוכיפת,כפר סבא,כפר סבא,כפר סבא,L1,1.0
44,750 - גוד מרקט שירת הים,ירושלים,ירושלים,ירושלים,L1,1.0
45,"1 - שלי ת""א- בן יהודה",תל אביב,תל אביב-יפו,תל אביב -יפו,L3,0.957
46,2 - שלי ירושלים- אגרון,ירושלים,ירושלים,ירושלים,L1,1.0
47,3 - שלי גבעתיים- סירקין,גבעתיים,גבעתיים,גבעתיים,L1,1.0
48,4 - שלי חיפה- כרמל,חיפה,חיפה,חיפה,L1,1.0
49,5 - שלי ירושלים- יובל,ירושלים,ירושלים,ירושלים,L1,1.0
50,"7 - שלי ת""א- ארלוזורוב",תל אביב,תל אביב-יפו,תל אביב -יפו,L3,0.957
51,9 - שלי נתניה- ויצמן,נתניה,נתניה,נתניה,L1,1.0
52,17 - שלי חיפה- חורב,חיפה,חיפה,חיפה,L1,1.0
53,19 - שלי חיפה- זיו,חיפה,חיפה,חיפה,L1,1.0
54,20 - שלי רחובות- הרצל,רחובות,רחובות,רחובות,L1,1.0
55,22 - שלי נתניה- סמילנסקי,נתניה,נתניה,נתניה,L1,1.0
56,23 - שלי מיתר,מיתר,מיתר,מיתר,L1,1.0
57,24 - שלי אשדוד- הנביאים,אשדוד,אשדוד,אשדוד,L1,1.0
58,27 - שלי רעננה- אחוזה,רעננה,רעננה,רעננה,L1,1.0
59,"28 - שלי ת""א- צה""ל",תל אביב,תל אביב-יפו,תל אביב -יפו,L3,0.957
60,30 - שלי רמת גן- קריניצי,רמת גן,רמת גן,רמת גן,L1,1.0
61,32 - שלי רמת גן- קסם,רמת-גן,רמת גן,רמת גן,L1,1.0
62,33 - שלי חיפה- סטלה,חיפה,חיפה,חיפה,L1,1.0
63,34 - שלי רמת השרון- סוקולוב,רמת-השרון,רמת-השרון,רמת השרון,L3,0.889
64,"36 - שלי כ""ס- רוטשילד",כפר-סבא,כפר סבא,כפר סבא,L1,1.0
65,38 - שלי חיפה- דניה,חיפה,חיפה,חיפה,L1,1.0
66,"40 - שלי ב""ש- עומר",עומר,עומר,עומר,L1,1.0
67,42 - שלי ירושלים- ניות,ירושלים,ירושלים,ירושלים,L1,1.0
68,43 - שלי הוד השרון- הבנים,הוד השרון,הוד השרון,הוד השרון,L1,1.0
69,50 - שלי מבשרת ציון,מבשרת ציון,מבשרת ציון,מבשרת ציון,L1,1.0
70,57 - שלי רמת השרון- אוסישקין,רמת השרון,רמת השרון,רמת השרון,L1,1.0
71,"69 - שלי ת""א- רמת אביב ב",תל אביב,תל אביב-יפו,תל אביב -יפו,L3,0.957
72,70 - שלי רמת גן- מרום נווה,רמת-גן,רמת גן,רמת גן,L1,1.0
73,72 - שלי רעות,רעות,רעות,,NULL,0.0
74,"80 - שלי ראשל""צ- נווה הדרים",ראשון לציון,ראשון לציון,ראשון לציון,L1,1.0
75,93 - שלי יהוד- סביונים,יהוד,יהוד,,NULL,0.0
76,101 - שלי הוד השרון- ק מרגלית,הוד השרון,הוד השרון,הוד השרון,L1,1.0
77,102 - שלי פרדסיה- הנשיא,פרדסיה,פרדסיה,פרדסייה,L3,0.923
78,103 - שלי שוהם- מרכז מסחרי,שוהם,שוהם,שוהם,L1,1.0
79,"104 - שלי פ""ת- גדמכנס",פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
80,109 - שלי ראש העין- ז'בוטינסקי,ראש העין,ראש העין,ראש העין,L1,1.0
81,116 - שלי גבעתיים- מכתש,גבעתיים,גבעתיים,גבעתיים,L1,1.0
82,117 - שלי תל אביב-איכילוב,"ת""א",תל אביב-יפו,תל אביב -יפו,L3,0.957
83,164 - שלי רמת גן- ביאליק,רמת גן,רמת גן,רמת גן,L1,1.0
84,"193 - שלי ראשל""צ- מזרח",ראשון לציון,ראשון לציון,ראשון לציון,L1,1.0
85,212 - שליחיפה- ורדיה,חיפה,חיפה,חיפה,L1,1.0
86,216 - שלי הוד השרון,הוד השרון,הוד השרון,הוד השרון,L1,1.0
87,228 - שלי בנימינה - הגביע,בנימינה,בנימינה,,NULL,0.0
88,"230 - שלי כ""ס- ויצמן",כפר סבא,כפר סבא,כפר סבא,L1,1.0
89,247 - שלי חולון- רבינוביץ,חולון,חולון,חולון,L1,1.0
90,262 - שלימזכרת בתיה- בגין,מזכרת בתיה,מזכרת בתיה,מזכרת בתיה,L1,1.0
91,266 - שלי רזין אילת,אילת,אילת,אילת,L1,1.0
92,271 - שלי רחובות- יעקובי,רחובות,רחובות,רחובות,L1,1.0
93,272 - שלי גבעתיים- ויצמן,גבעתיים,גבעתיים,גבעתיים,L1,1.0
94,"278 - שלי פ""ת -העצמאות",פתח תקוה,פתח תקוה,פתח תקווה,L3,0.941
95,284 - שלי תל מונד- הדקל,תל מונד,תל מונד,תל מונד,L1,1.0
96,287 - שלי גבעתיים-שביט,גבעתיים,גבעתיים,גבעתיים,L1,1.0
97,302 - שלי חיפה- קלר,חיפה,חיפה,חיפה,L1,1.0
98,308 - שלי קרית אתא- איינשטין,קרית אתא,קריית אתא,קריית אתא,L1,1.0
99,310 - שלי קרית חיים- דגניה,קרית חיים,קריית ביאליק,קריית ביאליק,L1,1.0
100,"313 - שלי קרית חיים-אח""י אילת",קרית חיים,קריית ביאליק,קריית ביאליק,L1,1.0
101,316 - דיל קרית מוצקין-שד ויצמן,קרית מוצקין,קריית מוצקין,קריית מוצקין,L1,1.0
102,319 - שלי עכו- שפירא,עכו,עכו,עכו,L1,1.0
103,330 - שלי חיפה- נתיב חן,חיפה,חיפה,חיפה,L1,1.0
104,333 - שלי חיפה- אורן,חיפה,חיפה,חיפה,L1,1.0
105,336 - שלי חיפה- רמות ספיר,חיפה,חיפה,חיפה,L1,1.0
106,365 - שלי פרדס חנה כרכור- קדמה,כרכור,כרכור,,NULL,0.0
107,366 - שלי כפר ורדים- מרכז מסחר,כפרורדים,כפרורדים,כפר ורדים,L3,0.941
108,369 - שלי שוהם- תרשיש,שוהם,שוהם,שוהם,L1,1.0
109,371 - שלי ברניצקי,ראשון לציון,ראשון לציון,ראשון לציון,L1,1.0
110,374 - שלי הרצליה- הבנים,הרצליה,הרצליה,הרצלייה,L3,0.923
111,756 - שלי באר יעקב,באר יעקב,באר יעקב,באר יעקב,L1,1.0
112,760 - שלי ראש העין,ראש העין,ראש העין,ראש העין,L1,1.0
113,13 - יוניברס בית שמש- העליה,בית-שמש,בית שמש,בית שמש,L1,1.0
114,14 - דיל ברנע אשקלון,אשקלון,אשקלון,אשקלון,L1,1.0
115,18 - דיל חולון-קרן היסוד,חולון,חולון,חולון,L1,1.0
116,35 - יוניברס באר שבע וולפסון,באר שבע,באר שבע,באר שבע,L1,1.0
117,45 - דיל ירושלים- תלפיות,ירושלים,ירושלים,ירושלים,L1,1.0
118,"49 - דיל ב""ש- הר בוקר",באר שבע,באר שבע,באר שבע,L1,1.0
119,"65 - דיל ב""ש- צ'ורלי",באר-שבע,באר שבע,באר שבע,L1,1.0
120,68 - דיל כורדני,קריית מוצקין,קריית מוצקין,קריית מוצקין,L1,1.0
121,76 - דיל אריאל,אריאל,אריאל,אריאל,L1,1.0
122,77 - דיל  חריש,חריש,חריש,חריש,L1,1.0
123,"83 - דיל ב""ש- שאול המלך",באר-שבע,באר שבע,באר שבע,L1,1.0
124,87 - דיל רעננה- החרושת,רעננה,רעננה,רעננה,L1,1.0
125,89 - דיל עזריאלי - רמלה,רמלה,רמלה,רמלה,L1,1.0
126,91 - יוניברס עמק חפר- אזור תעשיה,חדרה,חדרה,חדרה,L1,1.0
127,92 - דיל אשדוד- שבט לוי,אשדוד,אשדוד,אשדוד,L1,1.0
128,95 - דיל חדרה- קניון אורות,אור עקיבא,אור עקיבא,אור עקיבא,L1,1.0
129,96 - דיל חדרה- הפרדס,חדרה,חדרה,חדרה,L1,1.0
130,97 - דיל קרית שמונה- מתחם ביג,קרית שמונה,קריית שמונה,קריית שמונה,L1,1.0
131,98 - דיל קרית טבעון- אלונים,טבעון,טבעון,,NULL,0.0
132,"105 - דיל פ""ת- אליעזרפרדימן",פתח תקוה,פתח תקוה,פתח תקווה,L3,0.941
133,"110 - דיל הפארק ב""ש",באר שבע,באר שבע,באר שבע,L1,1.0
134,"113 - דיל ראשל""צ- גולדה מאיר","ראשל""צ","ראשל""צ",,NULL,0.0
135,114 - דיל ירושלים- גילה,ירושלים,ירושלים,ירושלים,L1,1.0
136,118 - דיל אילת  הסתת,אילת,אילת,אילת,L1,1.0
137,119 - דיל מודיעין- סנטר,מודיעין,מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,L1,1.0
138,121 - יוניברס נהריה- לוחמי הגטאות,נהריה,נהריה,נהרייה,L3,0.909
139,122 - דיל יבנה- ברוש דרך הים,יבנה,יבנה,יבנה,L1,1.0
140,123 - דיל חולון- גולדה,חולון,חולון,חולון,L1,1.0
141,124 - יוניברס בת ים- אורט ישראל,בת-ים,בת ים,בת ים,L1,1.0
142,128 - יוניברס טירת הכרמל- נחום חת,טירת הכרמל,טירת הכרמל,טירת כרמל,L3,0.947
143,129 - יוניברס נתניה- המלאכה,נתניה,נתניה,נתניה,L1,1.0
144,130 - דיל נתניה- קלאוזנר עמליה,נתניה,נתניה,נתניה,L1,1.0
