code,name,price_שוהם 91,price_per_pack_שוהם 91,promo_price_שוהם 91,price_רעננה 45,price_per_pack_רעננה 45,promo_price_רעננה 45,price_אופקים 47,price_per_pack_אופקים 47,promo_price_אופקים 47,price_לינקולן תל אביב 44,price_per_pack_לינקולן תל אביב 44,promo_price_לינקולן תל אביב 44,price_ברנע 41,price_per_pack_ברנע 41,promo_price_ברנע 41
196,גודי פטור מעמ,0.01,0.01,,,,,0.01,0.01,,0.01,0.01,,0.01,0.01,
319,תו סיבוס פטור מעמ,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
321,תן ביס פטור מעמ,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
600, סנדוויץ`עובד,3,3.0,,3,3.0,,3,3.0,,3,3.0,,3,3.0,
2003,אבוקדו ישראל,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2004,אבטיח ישראל,4.90,4.9,2.90,4.90,4.9,2.90,4.90,4.9,1.90,4.90,4.9,2.90,4.90,4.9,2.90
2007,בטטה ישראל,10.90,10.9,,10.90,10.9,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2009,בננות ישראל,8.90,8.9,6.90,8.90,8.9,,8.90,8.9,,8.90,8.9,,8.90,8.9,
2010,בצל יבש ישראל,4.90,4.9,1.90,4.90,4.9,1.90,4.90,4.9,1.90,4.90,4.9,1.90,4.90,4.9,1.90
2012,אננס טרי ישראל,35,35.0,,35,35.0,,35,35.0,,35,35.0,,35,35.0,
2013,גויאבה ישראל,25.90,25.9,,,,,,,,,,,,,
7290000654973,גזר ארוז,5.90,5.9,1.90,5.90,5.9,1.90,4.90,4.9,0.90,5.90,5.9,1.90,5.90,5.9,1.90
2016,דלורית ישראל,9.90,9.9,,9.90,9.9,,8.90,8.9,,9.90,9.9,,9.90,9.9,
2017,תפוח זהוב תוצרת איטליה,13.90,13.9,,,,,13.90,13.9,,13.90,13.9,,13.90,13.9,
2019,חסה עגולה ישראל,6.90,6.9,,,,,5.90,5.9,,6.90,6.9,,6.90,6.9,
2020,חסה רגילה ישראל,5.90,5.9,,,,,4.90,4.9,,5.90,5.9,,5.90,5.9,
2021,חצילים ישראל,9.90,9.9,5.90,9.90,9.9,,8.90,8.9,1.90,9.90,9.9,,9.90,9.9,
2022,ירק ישראל,3.90,3.9,,,,,3.90,3.9,,3.90,3.9,,,,
2023,תפוח יונתן ארצות הברית,16.90,16.9,,,,,15.90,15.9,,16.90,16.9,,16.90,16.9,
2024,כרוב לבן ישראל,5.90,5.9,1.90,5.90,5.9,1.90,4.90,4.9,0.90,5.90,5.9,1.90,5.90,5.9,1.90
7290017043005,כרובית ארוזה,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,
2027,לימון ישראל,9.90,9.9,3.90,9.90,9.9,3.90,9.90,9.9,3.90,9.90,9.9,3.90,9.90,9.9,3.90
2028,מלפפון ישראל,6.90,6.9,2.90,6.90,6.9,2.90,5.90,5.9,1.90,6.90,6.9,2.90,6.90,6.9,2.90
2029,מלון ישראל,8.90,8.9,3.90,8.90,8.9,3.90,8.90,8.9,3.90,8.90,8.9,3.90,8.90,8.9,3.90
2033,תפוח סמיט תוצרת איטליה,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90
2034,תפוח סטארקינג איטליה,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,
2035,סלק ישראל,5.90,5.9,2.90,5.90,5.9,2.90,4.90,4.9,0.90,5.90,5.9,2.90,5.90,5.9,2.90
2036,עגבנייה ישראל,6.90,6.9,2.90,6.90,6.9,2.90,5.90,5.9,0.90,6.90,6.9,2.90,6.90,6.9,2.90
2039,פומלה ישראל,10.90,10.9,,,,,,,,,,,,,
2040,פלפל ירוק ישראל,10.90,10.9,,10.90,10.9,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2041,פלפל חריף ירוק ישראל,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,
2043,עגבניות שרי צהוב תפזורת,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2044,צנון ישראל,6.90,6.9,,,,,,,,,,,,,
2046,קולורבי ישראל,9.90,9.9,,9.90,9.9,,8.90,8.9,,9.90,9.9,,9.90,9.9,
2047,קלמנטינה ישראל,8.90,8.9,,,,,8.90,8.9,,,,,,,
2048,קישואים ישראל,8.90,8.9,,8.90,8.9,,7.90,7.9,,8.90,8.9,,8.90,8.9,
2049,קיווי ירוק ישראל,20.90,20.9,,20.90,20.9,,19.90,19.9,,20.90,20.9,,20.90,20.9,
2051,לפת ישראל,7.90,7.9,,,,,7.90,7.9,,,,,,,
7290017291123,שום יבש ארוז תוצרת סין,5,5.0,,5,5.0,,5,5.0,,5,5.0,,5,5.0,
2056,שרי לובלו אדום ישראל תפזורת,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2058,תפוא לבן ישראל,4.90,4.9,3.90,4.90,4.9,3.90,4.90,4.9,3.90,4.90,4.9,3.90,4.90,4.9,3.90
7290018956007,תירס ארוז,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,
2061,פלפל אדום ישראל,10.90,10.9,7.90,10.90,10.9,7.90,9.90,9.9,7.90,10.90,10.9,7.90,10.90,10.9,7.90
2063,אגס ירוק תוצרת יוון,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,
2064,כרוב סגול ישראל,6.90,6.9,,6.90,6.9,,5.90,5.9,,6.90,6.9,,6.90,6.9,
2065,פלפל חריף אדום ישראל,15.90,15.9,,15.90,15.9,,14.90,14.9,,15.90,15.9,,15.90,15.9,
2066,פלפל בהיר ישראל,10.90,10.9,,,,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2067,פלפל צהוב ישראל,10.90,10.9,,10.90,10.9,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2068,אפרסמון ישראל,17.90,17.9,,,,,16.90,16.9,,,,,17.90,17.9,
2071,וירטיקלית  פטרוזליה**,5,5.0,,,,,,,,,,,,,
2072,בצל סגול ישראל,5.90,5.9,,5.90,5.9,,5.90,5.9,,5.90,5.9,,5.90,5.9,
2074,עגבניות שרי ארוז,10,10.0,,10,10.0,,10,10.0,,10,10.0,,,,
2080,נקטרינה ישראל,15.90,15.9,10,15.90,15.9,10,15.90,15.9,10,15.90,15.9,10,15.90,15.9,10
4251291107435,ענבי טלי שחורים ישראל,34.90,34.9,,34.90,34.9,,34.90,34.9,,34.90,34.9,,34.90,34.9,
2082,תפוח פינק ישראל,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2083,ליצ`י שקיל ישראל,39.90,39.9,,,,,39.90,39.9,,,,,,,
2084,דלעת ערמונים ישראל,9.90,9.9,,,,,9.90,9.9,,9.90,9.9,,9.90,9.9,
2088,מנגו ישראל,30,30.0,,30,30.0,,30,30.0,,30,30.0,,30,30.0,
2089,שזיף ירוק ישראל,30,30.0,,30,30.0,,30,30.0,,30,30.0,,30,30.0,
2090,שסק ישראל,30,30.0,,,,,,,,30,30.0,,,,
